X,Y,KYOTEN_ID,DAIHYO_ID,MEISHO,KANA,SITEI_CODE,PREF_NAME,CITY_NAME,PNT_CODE,JYUSHO,TEL,HNJ_SITEI,HNJ_FUKUSI,HNJ_ELSE,HNB_KINKYU,HNB_KOIKI,HNB_TUNAMI,HNB_ELSE,KYUSUI_PNT,KOSHO,SAIGAI,JISHIN,KASAI,HUSUI,TUNAMI,TAKASIO,DOSHA,SONOTA,ELSE_TXT,HIGH,MENSEKI,NINZU_HNJ,NINZU_HNB,IRYO,KYUSUI,UPDATE,Id
363505.870959076,3713582.60830216,"3900074","3900074",??????????,,"39201",???m??,???m?s,"39201",???m?????m?s???????P?T?W,088-833-4061,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","0","9","9","9",,3.5000000000,"0","0","0","9","9",2018/04/01,"0"
362999.725337748,3714324.43757546,"3900075","3900075",???????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s???V???R?|?S,088-822-7728,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","1","9","9","9",,3.1000000000,"0","0","0","9","9",2018/04/01,"0"
362453.459821585,3715355.55441627,"3900086","3900086",???m?????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?????X?V?W,088-823-1640,"1","1","0","0","0","0","0","0",?w?????????^??????????,"0","9","9","9","9","9","9","9",,3.2000000000,"0","0","0","9","9",2018/04/01,"0"
365473.223759342,3713329.39914608,"3900094","3900094",???]?????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s???V?????????P?|?T?S,088-833-1208,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","1","9","9","9",,0.4000000000,"0","0","0","9","9",2018/04/01,"0"
364190.263556542,3714546.95819391,"3900101","3900101",???m?????O?????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?????????????Q?|?P?O,088-873-6141,"1","0","0","0","0","0","0","0",?w????????,"0","9","9","9","9","9","9","9",,2.5000000000,"0","0","0","9","9",2018/04/01,"0"
364019.432663008,3714485.36038553,"3900102","3900102",?y?????q???w?E?????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?????????????R?|?P,088-875-3111,"1","0","0","0","0","0","0","0",?w????????,"0","9","9","9","9","9","9","9",,2.2000000000,"0","0","0","9","9",2018/04/01,"0"
362529.471731344,3713560.40344131,"3900104","3900104",???m?k?????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?????????P?U?O,088-832-2182,"1","0","0","0","0","0","0","0",?w????????,"0","9","9","9","9","9","9","9",,4.6000000000,"0","0","0","9","9",2018/04/01,"0"
366123.38382867,3714271.27409232,"3900111","3900111",???a???w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?????o???V?|?U?P,088-882-1101,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","1","9","9","9",,0.7000000000,"0","0","0","9","9",2018/04/01,"0"
363104.733987468,3715165.74353355,"3900112","3900112",???k???w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?????????????W?|?P?S,088-822-4146,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","1","9","9","9",,2.3000000000,"0","0","0","9","9",2018/04/01,"0"
361866.978776689,3715359.01734759,"3900117","3900117",??????,,"39201",???m??,???m?s,"39201",???m?????m?s???????V?S?W,088-822-2120,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","9","9","9","9",,6.8000000000,"0","0","0","9","9",2018/04/01,"0"
366180.577911849,3715299.06428052,"3900118","3900118",???E?q???????????Z???^?[,,"39201",???m??,???m?s,"39201",???m?????m?s?k?????Q?|?U?O,088-885-1660,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","0","9","9","9",,0.9000000000,"0","0","0","9","9",2018/04/01,"0"
361652.223871019,3714383.4664441,"3900119","3900119",???m???w?E?????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?k?[???P?O?O,088-840-1111,"1","0","0","0","0","0","0","0",?w????????,"0","9","9","9","9","9","9","9",,5.1000000000,"0","0","0","9","9",2018/04/01,"0"
361469.7131414,3714311.56938317,"3900120","3900120",???????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?k?[???T?O,088-844-0148,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","9","9","9","9",,6.2000000000,"0","0","0","9","9",2018/04/01,"0"
360843.826290762,3714018.99519248,"3900122","3900122",?????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?{?{???P?T,088-844-0288,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","9","9","9","9",,7.0000000000,"0","0","0","9","9",2018/04/01,"0"
363815.417125521,3713971.84741554,"3900123","3900123",?????????z?[??,,"39201",???m??,???m?s,"39201",???m?????m?s?{???l?????R?|?R?O,088-824-5321,"1","0","0","0","0","0","0","0",?w????????,"0","9","9","9","9","9","9","9",,1.9000000000,"0","0","0","9","9",2018/04/01,"0"
367017.202562771,3714364.63548931,"3901331","3901331",???m???????Z???^?[,,"39201",???m??,???m?s,"39201",???m?????m?s???q???T?|?Q?T,088-882-4538,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","0","9","1","1","9","9","9",,2.4000000000,"0","0","0","9","9",2018/04/01,"0"
363650.669481149,3714473.56909494,"3901348","3901348",???m????,,"39201",???m??,???m?s,"39201",???m?????m?s???m???P?????Q?|?P,,"0","0","0","1","0","0","0","0",?w?????}????????,"1","1","1","9","1","9","9","9",,40.0000000000,"101000","0","0","9","9",2018/04/01,"0"
363491.998423236,3714377.26675111,"3901349","3901349",???m?????n,,"39201",???m??,???m?s,"39201",???m?????m?s???m???P?????Q?O,,"0","0","0","1","0","0","0","0",?w?????}????????,"1","1","1","9","0","9","9","9",,13.7000000000,"7552","0","0","9","9",2018/04/01,"0"
363368.238519336,3714540.6436428,"3901350","3901350",????????,,"39201",???m??,???m?s,"39201",???m?????m?s???m???P?????T?|?Q,,"0","0","0","1","0","0","0","0",?w?????}????????,"1","1","1","9","0","9","9","9",,3.2000000000,"44000","0","0","9","9",2018/04/01,"0"
364515.287434864,3714338.18354116,"3901351","3901351",????????,,"39201",???m??,???m?s,"39201",???m?????m?s???????P?????P?P?|?Q?V,,"0","0","0","1","0","0","0","0",?w?????}????????,"1","1","1","9","0","9","9","9",,1.9000000000,"9443","0","0","9","9",2018/04/01,"0"
366178.813789522,3713972.99931,"3901352","3901352",????????,,"39201",???m??,???m?s,"39201",???m?????m?s???????P?|?R,,"0","0","0","1","0","0","0","0",?w?????}????????,"1","1","1","9","0","9","9","9",,0.4000000000,"12891","0","0","9","9",2018/04/01,"0"
366661.812464307,3714397.55909858,"3901353","3901353",???r????,,"39201",???m??,???m?s,"39201",???m?????m?s???r???X,,"0","0","0","1","0","0","0","0",?w?????}????????,"1","1","1","9","0","9","9","9",,1.2000000000,"28350","0","0","9","9",2018/04/01,"0"
367295.702293532,3713609.47140501,"3901369","3901369",???{????,,"39201",???m??,???m?s,"39201",???m?????m?s?????R????,,"0","0","0","1","0","0","0","0",?w?????}????????,"1","1","1","9","0","9","9","9",,0.9000000000,"20000","0","0","9","9",2018/04/01,"0"
367517.145747113,3714709.18101086,"3901370","3901370",???{?????Z???^?[?~?n,,"39201",???m??,???m?s,"39201",???m?????m?s???{,,"0","0","0","1","0","0","0","0",?w?????}????????,"1","1","1","9","0","9","9","9",,2.6000000000,"55000","0","0","9","9",2018/04/01,"0"
361496.975448023,3714940.84581544,"3901374","3901374",????????,,"39201",???m??,???m?s,"39201",???m?????m?s???????P?O?O?U?|?P,,"0","0","0","1","0","0","0","0",?w?????}????????,"1","1","1","9","9","9","9","9",,10.2000000000,"5489","0","0","9","9",2018/04/01,"0"
364101.150700909,3715017.62870354,"3901781","3901781",?]?m???R?~???j?e?B?Z???^?[,,"39201",???m??,???m?s,"39201",???m?????m?s?????????????P?O?|?V,088-820-1022,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","1","9","9","9",,1.3000000000,"0","0","0","9","9",2018/04/01,"0"
363911.118702327,3714732.66744251,"3902246","3902246",???m???????w?i?????L?????p?X,,"39201",???m??,???m?s,"39201",???m?????m?s?i???????T?|?P?T,088-873-2156,"1","0","0","0","0","0","0","0",?w????????,"0","9","9","9","9","9","9","9",,2.2000000000,"0","0","0","9","9",2018/04/01,"0"
365067.442429149,3714501.97690277,"3902506","3902506",?????????????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?????????????????P?S?|?W,,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","1","9","9","9",,2.1000000000,"0","0","0","9","9",2018/04/01,"0"
360601.911549657,3714099.82439744,"3902509","3902509",???m?????x???w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s?{?{???P?Q?T,,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","9","9","9","9",,7.5000000000,"0","0","0","9","9",2018/04/01,"0"
366029.302341271,3713939.43072686,"3902511","3902511",???m?R?~???j?e?B?Z???^?[,,"39201",???m??,???m?s,"39201",???m?????m?s???t???P?O?|?V,,"1","0","0","1","0","0","0","0",?w?????????^?w?????}????????,"1","1","9","1","1","9","9","9",,0.2000000000,"0","0","0","9","9",2018/04/01,"0"
363466.758168062,3714950.10894136,"3902520","3902520",???m???w?????w?????????E???w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s???????P?O?|?X?P,,"1","0","0","0","0","0","0","0",?w????????,"0","9","9","9","9","9","9","9",,2.2000000000,"0","0","0","9","9",2018/04/01,"0"
363803.957140359,3714590.70010333,"3902522","3902522",???m???z?[??,,"39201",???m??,???m?s,"39201",???m?????m?s???m?????????P?|?P?O,,"1","0","0","0","0","0","0","0",?w????????,"0","9","9","9","9","9","9","9",,2.2000000000,"0","0","0","9","9",2018/04/01,"0"
363428.836505083,3714485.91489015,"3902523","3902523",???m??????????,,"39201",???m??,???m?s,"39201",???m?????m?s???m?????????W?|?R,,"1","0","0","0","0","0","0","0",?w????????,"0","9","9","9","9","9","9","9",,3.1000000000,"0","0","0","9","9",2018/04/01,"0"
363017.357805536,3713949.08758191,"3903916","3903916",???n???????????????L?O??,,"39201",???m??,???m?s,"39201",???m?????m?s???????????U?|?R?R,,"1","0","0","0","0","0","0","0",?w????????,"0","9","9","9","9","9","9","9",,3.6000000000,"0","0","0","9","9",2018/04/01,"0"
361739.534765491,3713815.16740216,"3903917","3903917",???Q???????Z???^?[,,"39201",???m??,???m?s,"39201",???m?????m?s?????Q?????Q?P?|?U,,"0","1","0","0","0","0","0","0",??????????,"0","9","9","9","9","9","9","9",,6.2000000000,"0","0","0","9","9",2018/04/01,"0"
361571.752121775,3713877.02373455,"3903932","3903932",?f?C?T?[?r?X?????????X,,"39201",???m??,???m?s,"39201",???m?????m?s?????Q?????R?W?|?T,,"0","1","0","0","0","0","0","0",??????????,"0","9","9","9","9","9","9","9",,6.3000000000,"0","0","0","9","9",2018/04/01,"0"
364876.886971659,3713692.75334135,"3903940","3903940",?????V?l?????{???~????,,"39201",???m??,???m?s,"39201",???m?????m?s?y?????X?|?P?W,,"0","1","0","0","0","0","0","0",??????????,"0","9","9","9","9","9","9","9",,1.5000000000,"0","0","0","9","9",2018/04/01,"0"
362995.700650139,3714426.11018231,"3904460","3904460",???m???????w?Z,,"39201",???m??,???m?s,"39201",???m?????m?s???V???U?|?R?Q,,"0","1","0","0","0","0","0","0",??????????,"0","9","9","9","9","9","9","9",,3.2000000000,"0","0","0","9","9",2018/04/01,"0"
